0.6745641724 -40.0000000000 17.0714878055 0.3028671104 0.0124811600 -0.0005449641 0.0566699620 0.0062584605 -0.0265529041 0.0000328253 0.1513865385 
0.6745641724 -39.5918367347 17.0723281650 0.3028112645 0.0138107460 -0.0006322378 0.0577594455 0.0065820234 -0.0265461909 0.0000365108 0.1513530882 
0.6745641724 -39.1836734694 17.0732241544 0.3027468481 0.0153801413 -0.0007423049 0.0589223633 0.0069443348 -0.0265384427 0.0000409642 0.1513143482 
0.6745641724 -38.7755102041 17.0741846366 0.3026708434 0.0172565286 -0.0008848412 0.0601707274 0.0073538290 -0.0265293196 0.0000464778 0.1512685253 
0.6745641724 -38.3673469388 17.0752211827 0.3025779735 0.0195351738 -0.0010765365 0.0615203448 0.0078219820 -0.0265182541 0.0000535529 0.1512125742 
0.6745641724 -37.9591836735 17.0763494186 0.3024579520 0.0223559818 -0.0013492838 0.0629927509 0.0083649503 -0.0265041929 0.0000631400 0.1511407469 
0.6745641724 -37.5510204082 17.0775912521 0.3022886216 0.0259319923 -0.0017712164 0.0646183950 0.0090062971 -0.0264849675 0.0000772275 0.1510410242 
0.6745641724 -37.1428571429 17.0789784665 0.3020185016 0.0305963279 -0.0025038102 0.0664417071 0.0097813749 -0.0264557137 0.0001003213 0.1508861295 
0.6745641724 -36.7346938776 17.0805579346 0.3015226897 0.0368609301 -0.0039618621 0.0685279455 0.0107433486 -0.0264048988 0.0001431685 0.1506110029 
0.6745641724 -36.3265306122 17.0823962186 0.3004975574 0.0453706399 -0.0072582024 0.0709668531 0.0119667512 -0.0263047768 0.0002317425 0.1500593231 
0.6745641724 -35.9183673469 17.0845703913 0.2982478848 0.0560419514 -0.0153229348 0.0738495143 0.0135283066 -0.0260916297 0.0004260684 0.1488768507 
0.6745641724 -35.5102040816 17.0871023855 0.2934527930 0.0635609873 -0.0348403040 0.0771556002 0.0154081356 -0.0256410595 0.0008449085 0.1463961759 
0.6745641724 -35.1020408163 17.0897871792 0.2845378877 0.0450593757 -0.0757400417 0.0805230308 0.0172732322 -0.0247941210 0.0016445541 0.1418353324 
0.6745641724 -34.6938775510 17.0920912049 0.2714350862 -0.0440902390 -0.1396600892 0.0832374731 0.0184318259 -0.0235238840 0.0028566935 0.1351922051 
0.6745641724 -34.2857142857 17.0935636008 0.2565810952 -0.2270594230 -0.2081715298 0.0848620099 0.0184190963 -0.0220650002 0.0042380988 0.1277235370 
0.6745641724 -33.8775510204 17.0942877638 0.2424869876 -0.4736981740 -0.2603185644 0.0856160434 0.0174429712 -0.0206860996 0.0054886721 0.1206893167 
0.6745641724 -33.4693877551 17.0945887249 0.2299459480 -0.7424677457 -0.2899300701 0.0859056677 0.0159422752 -0.0194775510 0.0064989941 0.1144663403 
0.6745641724 -33.0612244898 17.0946949270 0.2187734915 -1.0098964914 -0.2995735056 0.0859874972 0.0142051764 -0.0184196357 0.0072894579 0.1089440468 
0.6745641724 -32.6530612245 17.0947157127 0.2086082305 -1.2664436374 -0.2930655112 0.0859800990 0.0123669373 -0.0174722794 0.0079065437 0.1039308287 
0.6745641724 -32.2448979592 17.0946972365 0.1991562326 -1.5083831253 -0.2733094702 0.0859329496 0.0104844566 -0.0166030928 0.0083880670 0.0992736489 
0.6745641724 -31.8367346939 17.0946584629 0.1902115150 -1.7337929478 -0.2422650962 0.0858663631 0.0085813038 -0.0157896271 0.0087598001 0.0948657809 
