 State=           1
 #  Site, Sx, Sy, Sz
   1      -0.5000         0.000       -0.2771E-09
   2      -0.5000         0.000       -0.2772E-09
 State=           2
 #  Site, Sx, Sy, Sz
   1      -0.3066E-13     0.000       -0.6863E-10
   2       0.3066E-13     0.000       -0.6863E-10
 State=           3
 #  Site, Sx, Sy, Sz
   1       0.5000         0.000        0.3458E-09
   2       0.5000         0.000        0.3458E-09
 State=           4
 #  Site, Sx, Sy, Sz
   1       0.3051E-13     0.000       -0.4799E-13
   2      -0.3051E-13     0.000        0.4799E-13
 State=           5
 #  Site, Sx, Sy, Sz
   1        0.000         0.000         0.000    
   2      -0.5000         0.000         0.000    
 State=           6
 #  Site, Sx, Sy, Sz
   1        0.000         0.000         0.000    
   2       0.5000         0.000         0.000    
 State=           7
 #  Site, Sx, Sy, Sz
   1        0.000         0.000         0.000    
   2      -0.5000         0.000         0.000    
 State=           8
 #  Site, Sx, Sy, Sz
   1        0.000         0.000         0.000    
   2       0.5000         0.000         0.000  
